user_country,count,count
VI,0.3333,3
LU,0.2917,24
AX,0.2500,4
JE,0.2500,8
MG,0.2222,9
CU,0.2162,37
MN,0.1852,54
HU,0.1622,746
AM,0.1613,31
SK,0.1458,48
ES,0.1456,3647
LV,0.1441,118
GI,0.1429,7
MT,0.1429,21
EC,0.1410,305
CZ,0.1399,143
MD,0.1389,36
EE,0.1371,124
PL,0.1365,1370
GR,0.1353,1375
RS,0.1351,148
UY,0.1333,90
DK,0.1297,347
PT,0.1257,533
HR,0.1250,152
PA,0.1228,57
SI,0.1170,94
RO,0.1156,545
PY,0.1130,177
FR,0.1128,895
AT,0.1127,213
BZ,0.1111,9
AL,0.1091,55
IT,0.1073,643
IS,0.1053,38
CM,0.1053,19
BE,0.1042,307
YE,0.1034,29
BG,0.0993,151
RU,0.0979,1971
ZA,0.0978,409
SE,0.0959,511
PR,0.0952,63
SY,0.0952,42
CH,0.0951,263
SV,0.0914,175
UA,0.0877,741
DO,0.0868,530
BY,0.0833,228
TW,0.0815,356
VE,0.0808,693
KG,0.0800,25
LT,0.0789,114
CO,0.0772,5906
MV,0.0769,13
AR,0.0754,1101
GH,0.0738,149
IL,0.0734,177
SG,0.0717,488
NZ,0.0714,196
MM,0.0714,28
DE,0.0695,1785
DZ,0.0682,220
CY,0.0678,59
KH,0.0667,15
GB,0.0665,8261
NL,0.0665,511
IN,0.0659,12772
HK,0.0649,185
JP,0.0641,281
EU,0.0638,235
FI,0.0633,237
AZ,0.0625,16
TN,0.0588,51
CA,0.0581,2787
NP,0.0578,173
BO,0.0576,243
SD,0.0566,53
PE,0.0564,1702
PH,0.0553,506
A1,0.0548,146
AU,0.0532,1185
MX,0.0521,2858
US,0.0514,26165
PK,0.0510,4199
GT,0.0508,177
BR,0.0491,3790
CR,0.0480,375
CL,0.0477,2074
NO,0.0476,168
BD,0.0455,901
JM,0.0455,44
MY,0.0428,374
EG,0.0411,657
GE,0.0400,25
MK,0.0400,25
AE,0.0391,281
JO,0.0377,106
IE,0.0376,505
ET,0.0365,137
AP,0.0353,85
VN,0.0343,204
TT,0.0339,59
ID,0.0334,359
TZ,0.0303,33
SA,0.0298,470
NG,0.0292,343
RW,0.0286,35
KE,0.0284,141
LB,0.0282,71
BA,0.0278,72
IR,0.0274,511
MA,0.0258,194
KW,0.0256,39
CN,0.0244,616
KZ,0.0242,124
HN,0.0235,85
TH,0.0234,128
UZ,0.0208,48
QA,0.0167,60
TR,0.0153,524
UG,0.0135,74
LK,0.0089,112
KR,0.0084,359
